Projection;Year;Price
WEO 2011 current policies (Swedish Energy Agency 2012);2030;151.2
WEO 2011 current policies (Swedish Energy Agency 2012);2035;156.8
WEO 2011 new policies;2030;134.4
WEO 2011 new policies;2035;140
WEO 2011 450;2030;106.4
WEO 2011 450;2035;106.4
WEO 2022 STEPS;2030;72.07207207
WEO 2022 STEPS;2035;75.67567568
WEO 2022 STEPS;2040;79.27927928
WEO 2022 APS;2030;55.85585586
WEO 2022 APS;2035;48.64864865
WEO 2022 APS;2040;46.84684685
WEP 2022 NZE;2030;31.53153153
WEP 2022 NZE;2035;27.92792793
WEP 2022 NZE;2040;26.12612613
Swedish Energy Agency 2023;2030;86.411889596603
Swedish Energy Agency 2023;2040;94.7092
Historical;1976;10.40650407
Historical;1977;11.30081301
Historical;1978;11.38211382
Historical;1979;25.69105691
Historical;1980;29.91869919
Historical;1981;29.18699187
Historical;1982;26.82926829
Historical;1983;24.06504065
Historical;1984;23.33333333
Historical;1985;22.35772358
Historical;1986;11.70731707
Historical;1987;14.95934959
Historical;1988;12.19512195
Historical;1989;14.79674797
Historical;1990;19.3495935
Historical;1991;16.34146341
Historical;1992;15.77235772
Historical;1993;13.90243902
Historical;1994;13.00813008
Historical;1995;13.98373984
Historical;1996;16.91056911
Historical;1997;15.52845528
Historical;1998;10.40650407
Historical;1999;14.55284553
Historical;2000;23.08943089
Historical;2001;19.87804878
Historical;2002;20.33333333
Historical;2003;23.43902439
Historical;2004;30.97560976
Historical;2005;44.21138211
Historical;2006;52.95934959
Historical;2007;58.95934959
Historical;2008;78.85365854
Historical;2009;50.00813008
Historical;2010;64.6097561
Historical;2011;90.45528455
Historical;2012;90.75609756
Historical;2013;88.2601626
Historical;2014;80.46341463
Historical;2015;42.53658537
Historical;2016;35.50406504
Historical;2017;44.10569106
Historical;2018;58
Historical;2019;52.27642276
Historical;2020;34.11382114
Historical;2021;57.6097561
Historical;2022;82.05691057
